Move In,In Time,Move Out,Out Time,Stay Duration
41,2025-06-11 00:27,41,2025-06-11 00:27,2.12
42,2025-06-11 00:28,42,2025-06-11 00:28,2.42
43,2025-06-11 00:28,43,2025-06-11 00:28,3.0
44,2025-06-11 00:32,44,2025-06-11 00:32,4.47
45,2025-06-11 00:33,45,2025-06-11 00:33,2.09
46,2025-06-11 00:34,46,2025-06-11 00:34,2.95
47,2025-06-11 00:36,47,2025-06-11 00:36,3.75
48,2025-06-11 00:36,48,2025-06-11 00:36,4.01
49,2025-06-11 00:37,49,2025-06-11 00:37,4.04
50,2025-06-11 00:38,50,2025-06-11 00:38,1.2
51,2025-06-11 00:38,51,2025-06-11 00:38,3.49
52,2025-06-11 00:40,52,2025-06-11 00:40,2.2
53,2025-06-11 00:40,53,2025-06-11 00:40,3.26
54,2025-06-11 00:41,54,2025-06-11 00:41,3.03
55,2025-06-11 00:41,55,2025-06-11 00:41,2.11
56,2025-06-11 00:42,56,2025-06-11 00:42,4.93
57,2025-06-11 00:42,57,2025-06-11 00:42,3.78
58,2025-06-11 00:43,58,2025-06-11 00:43,3.04
59,2025-06-11 00:43,59,2025-06-11 00:43,4.74
60,2025-06-11 00:44,60,2025-06-11 00:44,1.58
61,2025-06-11 00:45,61,2025-06-11 00:45,1.72
62,2025-06-11 00:45,62,2025-06-11 00:45,3.0
63,2025-06-11 00:45,63,2025-06-11 00:45,2.2
64,2025-06-11 00:46,64,2025-06-11 00:46,2.65
65,2025-06-11 00:46,65,2025-06-11 00:46,4.32
66,2025-06-11 00:47,66,2025-06-11 00:47,4.12
67,2025-06-11 00:47,67,2025-06-11 00:47,3.27
68,2025-06-11 00:47,68,2025-06-11 00:47,4.27
69,2025-06-11 00:50,69,2025-06-11 00:50,1.7
70,2025-06-11 00:50,70,2025-06-11 00:50,2.88
71,2025-06-11 00:50,71,2025-06-11 00:50,4.26
72,2025-06-11 00:51,72,2025-06-11 00:51,3.55
73,2025-06-11 00:51,73,2025-06-11 00:51,2.06
74,2025-06-11 00:52,74,2025-06-11 00:52,4.05
75,2025-06-11 00:52,75,2025-06-11 00:52,2.23
76,2025-06-11 00:53,76,2025-06-11 00:53,1.12
77,2025-06-11 00:53,77,2025-06-11 00:53,3.6
78,2025-06-11 00:54,78,2025-06-11 00:54,3.19
79,2025-06-11 00:54,79,2025-06-11 00:54,3.74
80,2025-06-11 00:55,80,2025-06-11 00:55,2.46
81,2025-06-11 00:55,81,2025-06-11 00:55,1.01
82,2025-06-11 00:55,82,2025-06-11 00:55,1.83
83,2025-06-11 00:56,83,2025-06-11 00:56,3.81
84,2025-06-11 00:57,84,2025-06-11 00:57,3.07
85,2025-06-11 00:57,85,2025-06-11 00:57,1.9
86,2025-06-11 00:57,86,2025-06-11 00:57,4.35
87,2025-06-11 00:58,87,2025-06-11 00:58,2.28
88,2025-06-11 00:58,88,2025-06-11 00:58,4.09
89,2025-06-11 00:58,89,2025-06-11 00:58,2.73
90,2025-06-11 01:00,90,2025-06-11 01:00,2.16
91,2025-06-11 01:01,91,2025-06-11 01:01,4.75
92,2025-06-11 01:01,92,2025-06-11 01:01,4.02
93,2025-06-11 01:01,93,2025-06-11 01:01,1.17
94,2025-06-11 01:02,94,2025-06-11 01:02,2.69
95,2025-06-11 01:02,95,2025-06-11 01:02,3.2
96,2025-06-11 01:03,96,2025-06-11 01:03,1.88
97,2025-06-11 01:03,97,2025-06-11 01:03,3.42
98,2025-06-11 01:03,98,2025-06-11 01:03,3.43
99,2025-06-11 01:04,99,2025-06-11 01:04,3.06
100,2025-06-11 01:04,100,2025-06-11 01:04,4.67
101,2025-06-11 01:04,101,2025-06-11 01:04,2.7
102,2025-06-11 01:05,102,2025-06-11 01:05,4.02
103,2025-06-11 01:06,103,2025-06-11 01:06,2.52
104,2025-06-11 01:06,104,2025-06-11 01:06,4.62
105,2025-06-11 01:08,105,2025-06-11 01:08,2.09
106,2025-06-11 01:08,106,2025-06-11 01:08,1.52
107,2025-06-11 01:12,107,2025-06-11 01:12,4.42
108,2025-06-11 01:12,108,2025-06-11 01:12,3.18
109,2025-06-11 01:13,109,2025-06-11 01:13,4.78
110,2025-06-11 01:14,110,2025-06-11 01:14,1.95
111,2025-06-11 01:17,111,2025-06-11 01:17,2.86
112,2025-06-11 01:19,112,2025-06-11 01:19,2.5
113,2025-06-11 01:19,113,2025-06-11 01:19,3.05
114,2025-06-11 01:19,114,2025-06-11 01:19,2.83
115,2025-06-11 01:21,115,2025-06-11 01:21,4.32
116,2025-06-11 01:21,116,2025-06-11 01:21,1.09
117,2025-06-11 01:21,117,2025-06-11 01:21,2.24
118,2025-06-11 01:25,118,2025-06-11 01:25,4.99
119,2025-06-11 01:25,119,2025-06-11 01:25,1.38
120,2025-06-11 01:26,120,2025-06-11 01:26,1.29
121,2025-06-11 01:27,121,2025-06-11 01:27,1.05
122,2025-06-11 01:27,122,2025-06-11 01:27,2.91
123,2025-06-11 01:27,123,2025-06-11 01:27,3.11
124,2025-06-11 01:28,124,2025-06-11 01:28,1.34
125,2025-06-11 01:28,125,2025-06-11 01:28,2.61
126,2025-06-11 01:28,126,2025-06-11 01:28,2.2
127,2025-06-11 01:29,127,2025-06-11 01:29,4.31
128,2025-06-11 01:29,128,2025-06-11 01:29,3.51
129,2025-06-11 01:30,129,2025-06-11 01:30,1.62
130,2025-06-11 01:30,130,2025-06-11 01:30,1.14
131,2025-06-11 01:31,131,2025-06-11 01:31,4.54
132,2025-06-11 01:32,132,2025-06-11 01:32,3.28
133,2025-06-11 01:32,133,2025-06-11 01:32,3.04
134,2025-06-11 01:33,134,2025-06-11 01:33,4.61
135,2025-06-11 01:33,135,2025-06-11 01:33,3.32
136,2025-06-11 01:34,136,2025-06-11 01:34,1.1
137,2025-06-11 01:34,137,2025-06-11 01:34,4.41
138,2025-06-11 01:35,138,2025-06-11 01:35,3.65
139,2025-06-11 01:35,139,2025-06-11 01:35,3.98
140,2025-06-11 01:35,140,2025-06-11 01:35,1.46
141,2025-06-11 01:36,141,2025-06-11 01:36,1.61
142,2025-06-11 01:36,142,2025-06-11 01:36,2.15
143,2025-06-11 01:37,143,2025-06-11 01:37,4.55
144,2025-06-11 01:37,144,2025-06-11 01:37,2.64
145,2025-06-11 01:38,145,2025-06-11 01:38,3.52
146,2025-06-11 01:38,146,2025-06-11 01:38,2.63
147,2025-06-11 01:39,147,2025-06-11 01:39,4.26
148,2025-06-11 01:42,148,2025-06-11 01:42,2.63
149,2025-06-11 01:42,149,2025-06-11 01:42,4.71
150,2025-06-11 01:43,150,2025-06-11 01:43,2.07
151,2025-06-11 01:45,151,2025-06-11 01:45,1.51
152,2025-06-11 01:45,152,2025-06-11 01:45,2.44
153,2025-06-11 01:46,153,2025-06-11 01:46,2.29
154,2025-06-11 01:46,154,2025-06-11 01:46,4.34
155,2025-06-11 01:46,155,2025-06-11 01:46,2.87
156,2025-06-11 01:47,156,2025-06-11 01:47,4.74
157,2025-06-11 01:47,157,2025-06-11 01:47,4.37
158,2025-06-11 01:47,158,2025-06-11 01:47,3.08
159,2025-06-11 01:48,159,2025-06-11 01:48,1.05
160,2025-06-11 01:48,160,2025-06-11 01:48,1.86
161,2025-06-11 01:51,161,2025-06-11 01:51,4.85
162,2025-06-11 01:51,162,2025-06-11 01:51,3.73
163,2025-06-11 01:52,163,2025-06-11 01:52,4.56
164,2025-06-11 01:54,164,2025-06-11 01:54,2.23
165,2025-06-11 01:54,165,2025-06-11 01:54,3.86
166,2025-06-11 01:55,166,2025-06-11 01:55,4.43
167,2025-06-11 01:56,167,2025-06-11 01:56,4.21
168,2025-06-11 01:57,168,2025-06-11 01:57,1.71
169,2025-06-11 01:57,169,2025-06-11 01:57,4.84
170,2025-06-11 01:57,170,2025-06-11 01:57,3.9
171,2025-06-11 02:01,171,2025-06-11 02:01,1.37
172,2025-06-11 02:01,172,2025-06-11 02:01,1.99
173,2025-06-11 02:02,173,2025-06-11 02:02,3.1
174,2025-06-11 02:02,174,2025-06-11 02:02,4.25
175,2025-06-11 02:03,175,2025-06-11 02:03,3.9
176,2025-06-11 02:03,176,2025-06-11 02:03,1.01
177,2025-06-11 02:03,177,2025-06-11 02:03,3.68
178,2025-06-11 02:05,178,2025-06-11 02:05,3.53
179,2025-06-11 02:05,179,2025-06-11 02:05,2.2
180,2025-06-11 02:05,180,2025-06-11 02:05,4.19
181,2025-06-11 02:06,181,2025-06-11 02:06,3.52
182,2025-06-11 02:07,182,2025-06-11 02:07,3.26
183,2025-06-11 02:07,183,2025-06-11 02:07,4.54
184,2025-06-11 02:09,184,2025-06-11 02:09,3.33
185,2025-06-11 02:09,185,2025-06-11 02:09,4.03
186,2025-06-11 02:10,186,2025-06-11 02:10,1.36
187,2025-06-11 02:12,187,2025-06-11 02:12,4.46
188,2025-06-11 02:12,188,2025-06-11 02:12,1.96
189,2025-06-11 02:13,189,2025-06-11 02:13,1.23
190,2025-06-11 02:13,190,2025-06-11 02:13,2.78
191,2025-06-11 02:13,191,2025-06-11 02:13,2.74
192,2025-06-11 02:14,192,2025-06-11 02:14,1.35
193,2025-06-11 02:15,193,2025-06-11 02:15,3.49
194,2025-06-11 02:16,194,2025-06-11 02:16,1.24
195,2025-06-11 02:16,195,2025-06-11 02:16,4.9
196,2025-06-11 02:16,196,2025-06-11 02:16,4.45
197,2025-06-11 02:17,197,2025-06-11 02:17,1.72
198,2025-06-11 02:17,198,2025-06-11 02:17,1.28
199,2025-06-11 02:18,199,2025-06-11 02:18,3.67
200,2025-06-11 02:18,200,2025-06-11 02:18,1.61
201,2025-06-11 02:20,201,2025-06-11 02:20,1.28
202,2025-06-11 02:20,202,2025-06-11 02:20,3.67
203,2025-06-11 02:22,203,2025-06-11 02:22,3.56
204,2025-06-11 02:22,204,2025-06-11 02:22,1.29
205,2025-06-11 02:23,205,2025-06-11 02:23,2.48
206,2025-06-11 02:24,206,2025-06-11 02:24,5.0
207,2025-06-11 02:26,207,2025-06-11 02:26,3.96
208,2025-06-11 02:26,208,2025-06-11 02:26,1.26
209,2025-06-11 02:27,209,2025-06-11 02:27,1.28
210,2025-06-11 02:27,210,2025-06-11 02:27,2.11
211,2025-06-11 02:29,211,2025-06-11 02:29,4.0
212,2025-06-11 02:29,212,2025-06-11 02:29,1.76
213,2025-06-11 02:32,213,2025-06-11 02:32,2.34
214,2025-06-11 02:32,214,2025-06-11 02:32,1.56
215,2025-06-11 02:33,215,2025-06-11 02:33,4.13
216,2025-06-11 02:33,216,2025-06-11 02:33,3.06
217,2025-06-11 02:33,217,2025-06-11 02:33,1.23
218,2025-06-11 02:34,218,2025-06-11 02:34,2.23
219,2025-06-11 02:34,219,2025-06-11 02:34,3.94
220,2025-06-11 02:35,220,2025-06-11 02:35,1.06
221,2025-06-11 02:35,221,2025-06-11 02:35,3.31
222,2025-06-11 02:36,222,2025-06-11 02:36,1.53
223,2025-06-11 02:38,223,2025-06-11 02:38,3.6
224,2025-06-11 02:38,224,2025-06-11 02:38,3.28
225,2025-06-11 02:38,225,2025-06-11 02:38,3.32
226,2025-06-11 02:39,226,2025-06-11 02:39,4.29
227,2025-06-11 02:39,227,2025-06-11 02:39,3.96
228,2025-06-11 02:40,228,2025-06-11 02:40,4.06
229,2025-06-11 02:40,229,2025-06-11 02:40,4.04
230,2025-06-11 02:40,230,2025-06-11 02:40,2.85
231,2025-06-11 02:41,231,2025-06-11 02:41,2.28
232,2025-06-11 02:42,232,2025-06-11 02:42,4.13
233,2025-06-11 02:42,233,2025-06-11 02:42,2.65
234,2025-06-11 02:46,234,2025-06-11 02:46,1.4
235,2025-06-11 02:46,235,2025-06-11 02:46,4.39
236,2025-06-11 02:48,236,2025-06-11 02:48,2.59
237,2025-06-11 02:49,237,2025-06-11 02:49,1.0
238,2025-06-11 02:49,238,2025-06-11 02:49,2.08
239,2025-06-11 02:49,239,2025-06-11 02:49,4.36
240,2025-06-11 02:51,240,2025-06-11 02:51,4.68
241,2025-06-11 02:51,241,2025-06-11 02:51,3.34
242,2025-06-11 02:51,242,2025-06-11 02:51,1.28
243,2025-06-11 02:52,243,2025-06-11 02:52,1.6
244,2025-06-11 02:52,244,2025-06-11 02:52,1.01
245,2025-06-11 02:53,245,2025-06-11 02:53,3.29
246,2025-06-11 02:53,246,2025-06-11 02:53,1.32
247,2025-06-11 02:54,247,2025-06-11 02:54,1.03
248,2025-06-11 02:54,248,2025-06-11 02:54,3.69
249,2025-06-11 02:54,249,2025-06-11 02:54,2.21
250,2025-06-11 02:55,250,2025-06-11 02:55,1.73
251,2025-06-11 02:55,251,2025-06-11 02:55,4.98
252,2025-06-11 02:55,252,2025-06-11 02:55,3.95
253,2025-06-11 02:56,253,2025-06-11 02:56,4.62
254,2025-06-11 02:57,254,2025-06-11 02:57,3.01
255,2025-06-11 02:58,255,2025-06-11 02:58,4.92
256,2025-06-11 02:58,256,2025-06-11 02:58,3.95
257,2025-06-11 02:59,257,2025-06-11 02:59,2.06
258,2025-06-11 02:59,258,2025-06-11 02:59,1.44
259,2025-06-11 02:59,259,2025-06-11 02:59,3.43
260,2025-06-11 03:01,260,2025-06-11 03:01,4.17
261,2025-06-11 03:01,261,2025-06-11 03:01,3.85
262,2025-06-11 03:02,262,2025-06-11 03:02,3.7
263,2025-06-11 03:07,263,2025-06-11 03:07,2.99
264,2025-06-11 03:07,264,2025-06-11 03:07,3.29
265,2025-06-11 03:07,265,2025-06-11 03:07,2.54
266,2025-06-11 03:08,266,2025-06-11 03:08,4.3
267,2025-06-11 03:08,267,2025-06-11 03:08,4.2
268,2025-06-11 03:08,268,2025-06-11 03:08,2.1
269,2025-06-11 03:09,269,2025-06-11 03:09,4.66
270,2025-06-11 03:10,270,2025-06-11 03:10,3.96
271,2025-06-11 03:10,271,2025-06-11 03:10,2.44
272,2025-06-11 03:11,272,2025-06-11 03:11,4.64
273,2025-06-11 03:12,273,2025-06-11 03:12,4.65
274,2025-06-11 03:13,274,2025-06-11 03:13,2.18
275,2025-06-11 03:13,275,2025-06-11 03:13,3.82
276,2025-06-11 03:14,276,2025-06-11 03:14,1.88
277,2025-06-11 03:16,277,2025-06-11 03:16,4.46
278,2025-06-11 03:18,278,2025-06-11 03:18,4.04
279,2025-06-11 03:18,279,2025-06-11 03:18,1.35
280,2025-06-11 03:19,280,2025-06-11 03:19,4.03
281,2025-06-11 03:20,281,2025-06-11 03:20,1.29
282,2025-06-11 03:21,282,2025-06-11 03:21,4.2
283,2025-06-11 03:21,283,2025-06-11 03:21,2.47
284,2025-06-11 03:21,284,2025-06-11 03:21,1.59
285,2025-06-11 03:22,285,2025-06-11 03:22,2.36
286,2025-06-11 03:22,286,2025-06-11 03:22,4.77
287,2025-06-11 03:23,287,2025-06-11 03:23,4.72
288,2025-06-11 03:23,288,2025-06-11 03:23,1.57
289,2025-06-11 03:23,289,2025-06-11 03:23,4.65
290,2025-06-11 03:24,290,2025-06-11 03:24,2.18
291,2025-06-11 03:24,291,2025-06-11 03:24,2.02
292,2025-06-11 03:24,292,2025-06-11 03:24,3.87
293,2025-06-11 03:26,293,2025-06-11 03:26,4.76
294,2025-06-11 03:26,294,2025-06-11 03:26,2.17
295,2025-06-11 03:28,295,2025-06-11 03:28,2.44
296,2025-06-11 03:28,296,2025-06-11 03:28,4.42
297,2025-06-11 03:28,297,2025-06-11 03:28,2.51
298,2025-06-11 03:30,298,2025-06-11 03:30,4.57
299,2025-06-11 03:30,299,2025-06-11 03:30,2.0
300,2025-06-11 03:30,300,2025-06-11 03:30,3.13
301,2025-06-11 03:31,301,2025-06-11 03:31,2.24
302,2025-06-11 03:32,302,2025-06-11 03:32,3.17
303,2025-06-11 03:32,303,2025-06-11 03:32,1.2
304,2025-06-11 03:34,304,2025-06-11 03:34,2.08
305,2025-06-11 03:34,305,2025-06-11 03:34,2.23
306,2025-06-11 03:34,306,2025-06-11 03:34,2.18
307,2025-06-11 03:35,307,2025-06-11 03:35,3.4
308,2025-06-11 03:35,308,2025-06-11 03:35,4.7
309,2025-06-11 03:37,309,2025-06-11 03:37,4.96
310,2025-06-11 03:38,310,2025-06-11 03:38,2.05
311,2025-06-11 03:38,311,2025-06-11 03:38,3.18
312,2025-06-11 03:39,312,2025-06-11 03:39,2.22
313,2025-06-11 03:41,313,2025-06-11 03:41,3.96
314,2025-06-11 03:42,314,2025-06-11 03:42,3.2
315,2025-06-11 03:43,315,2025-06-11 03:43,4.25
316,2025-06-11 03:43,316,2025-06-11 03:43,1.11
317,2025-06-11 03:43,317,2025-06-11 03:43,2.79
318,2025-06-11 03:44,318,2025-06-11 03:44,3.3
319,2025-06-11 03:46,319,2025-06-11 03:46,4.33
320,2025-06-11 03:46,320,2025-06-11 03:46,3.49
321,2025-06-11 03:46,321,2025-06-11 03:46,1.54
322,2025-06-11 03:47,322,2025-06-11 03:47,2.11
323,2025-06-11 03:47,323,2025-06-11 03:47,4.96
324,2025-06-11 03:47,324,2025-06-11 03:47,4.71
325,2025-06-11 03:48,325,2025-06-11 03:48,4.83
326,2025-06-11 03:48,326,2025-06-11 03:48,1.31
327,2025-06-11 03:49,327,2025-06-11 03:49,1.58
328,2025-06-11 03:50,328,2025-06-11 03:50,1.72
329,2025-06-11 03:50,329,2025-06-11 03:50,4.6
330,2025-06-11 03:51,330,2025-06-11 03:51,2.15
331,2025-06-11 03:52,331,2025-06-11 03:52,1.73
332,2025-06-11 03:52,332,2025-06-11 03:52,4.56
333,2025-06-11 03:53,333,2025-06-11 03:53,1.8
334,2025-06-11 03:53,334,2025-06-11 03:53,2.13
335,2025-06-11 03:53,335,2025-06-11 03:53,4.84
336,2025-06-11 03:54,336,2025-06-11 03:54,1.73
337,2025-06-11 03:54,337,2025-06-11 03:54,1.74
338,2025-06-11 03:54,338,2025-06-11 03:54,1.05
339,2025-06-11 03:55,339,2025-06-11 03:55,5.0
340,2025-06-11 03:56,340,2025-06-11 03:56,1.61
341,2025-06-11 03:56,341,2025-06-11 03:56,1.84
342,2025-06-11 03:56,342,2025-06-11 03:56,1.89
343,2025-06-11 03:57,343,2025-06-11 03:57,4.46
344,2025-06-11 03:57,344,2025-06-11 03:57,4.53
345,2025-06-11 03:58,345,2025-06-11 03:58,2.13
346,2025-06-11 03:58,346,2025-06-11 03:58,2.71
347,2025-06-11 03:59,347,2025-06-11 03:59,4.83
348,2025-06-11 03:59,348,2025-06-11 03:59,1.19
349,2025-06-11 03:59,349,2025-06-11 03:59,2.78
350,2025-06-11 04:00,350,2025-06-11 04:00,4.62
351,2025-06-11 04:01,351,2025-06-11 04:01,2.32
352,2025-06-11 04:01,352,2025-06-11 04:01,4.83
353,2025-06-11 04:03,353,2025-06-11 04:03,4.68
354,2025-06-11 04:03,354,2025-06-11 04:03,3.15
355,2025-06-11 04:03,355,2025-06-11 04:03,4.19
356,2025-06-11 04:05,356,2025-06-11 04:05,4.77
357,2025-06-11 04:05,357,2025-06-11 04:05,4.41
358,2025-06-11 04:07,358,2025-06-11 04:07,1.88
359,2025-06-11 04:09,359,2025-06-11 04:09,3.53
360,2025-06-11 04:09,360,2025-06-11 04:09,3.85
361,2025-06-11 04:09,361,2025-06-11 04:09,2.45
362,2025-06-11 04:10,362,2025-06-11 04:10,3.44
363,2025-06-11 04:10,363,2025-06-11 04:10,1.14
364,2025-06-11 04:10,364,2025-06-11 04:10,4.3
365,2025-06-11 04:12,365,2025-06-11 04:12,4.09
366,2025-06-11 04:12,366,2025-06-11 04:12,1.62
367,2025-06-11 04:12,367,2025-06-11 04:12,4.4
368,2025-06-11 04:13,368,2025-06-11 04:13,1.88
369,2025-06-11 04:13,369,2025-06-11 04:13,3.98
370,2025-06-11 04:16,370,2025-06-11 04:16,3.5
371,2025-06-11 04:17,371,2025-06-11 04:17,3.47
372,2025-06-11 04:17,372,2025-06-11 04:17,3.24
373,2025-06-11 04:17,373,2025-06-11 04:17,1.87
374,2025-06-11 04:18,374,2025-06-11 04:18,1.44
375,2025-06-11 04:18,375,2025-06-11 04:18,3.67
376,2025-06-11 04:18,376,2025-06-11 04:18,3.88
377,2025-06-11 04:19,377,2025-06-11 04:19,1.98
378,2025-06-11 04:19,378,2025-06-11 04:19,1.91
379,2025-06-11 04:20,379,2025-06-11 04:20,4.5
380,2025-06-11 04:20,380,2025-06-11 04:20,4.02
381,2025-06-11 04:20,381,2025-06-11 04:20,4.73
382,2025-06-11 04:21,382,2025-06-11 04:21,2.42
383,2025-06-11 04:21,383,2025-06-11 04:21,2.92
384,2025-06-11 04:22,384,2025-06-11 04:22,1.9
385,2025-06-11 04:22,385,2025-06-11 04:22,3.94
386,2025-06-11 04:24,386,2025-06-11 04:24,3.07
387,2025-06-11 04:25,387,2025-06-11 04:25,4.52
388,2025-06-11 04:25,388,2025-06-11 04:25,4.43
389,2025-06-11 04:25,389,2025-06-11 04:25,1.54
390,2025-06-11 04:27,390,2025-06-11 04:27,1.64
391,2025-06-11 04:27,391,2025-06-11 04:27,3.37
392,2025-06-11 04:28,392,2025-06-11 04:28,2.55
393,2025-06-11 04:28,393,2025-06-11 04:28,3.72
394,2025-06-11 04:30,394,2025-06-11 04:30,4.79
395,2025-06-11 04:30,395,2025-06-11 04:30,4.09
396,2025-06-11 04:31,396,2025-06-11 04:31,1.44
397,2025-06-11 04:31,397,2025-06-11 04:31,1.36
398,2025-06-11 04:31,398,2025-06-11 04:31,1.7
399,2025-06-11 04:32,399,2025-06-11 04:32,3.64
400,2025-06-11 04:32,400,2025-06-11 04:32,2.47
401,2025-06-11 04:32,401,2025-06-11 04:32,2.12
402,2025-06-11 04:33,402,2025-06-11 04:33,3.43
403,2025-06-11 04:34,403,2025-06-11 04:34,1.26
404,2025-06-11 04:34,404,2025-06-11 04:34,4.92
405,2025-06-11 04:34,405,2025-06-11 04:34,4.59
406,2025-06-11 04:37,406,2025-06-11 04:37,4.13
407,2025-06-11 04:37,407,2025-06-11 04:37,1.0
408,2025-06-11 04:38,408,2025-06-11 04:38,2.62
409,2025-06-11 04:38,409,2025-06-11 04:38,3.8
410,2025-06-11 04:40,410,2025-06-11 04:40,2.27
411,2025-06-11 04:40,411,2025-06-11 04:40,1.67
412,2025-06-11 04:40,412,2025-06-11 04:40,4.55
413,2025-06-11 04:41,413,2025-06-11 04:41,1.02
414,2025-06-11 04:41,414,2025-06-11 04:41,1.62
415,2025-06-11 04:42,415,2025-06-11 04:42,1.29
416,2025-06-11 04:42,416,2025-06-11 04:42,4.78
417,2025-06-11 04:42,417,2025-06-11 04:42,1.94
418,2025-06-11 04:43,418,2025-06-11 04:43,1.67
419,2025-06-11 04:44,419,2025-06-11 04:44,1.37
420,2025-06-11 04:44,420,2025-06-11 04:44,1.55
421,2025-06-11 04:45,421,2025-06-11 04:45,2.32
422,2025-06-11 04:46,422,2025-06-11 04:46,2.55
423,2025-06-11 04:46,423,2025-06-11 04:46,4.11
424,2025-06-11 04:47,424,2025-06-11 04:47,2.17
425,2025-06-11 04:47,425,2025-06-11 04:47,3.21
426,2025-06-11 04:48,426,2025-06-11 04:48,3.73
427,2025-06-11 04:48,427,2025-06-11 04:48,1.5
428,2025-06-11 04:49,428,2025-06-11 04:49,3.0
429,2025-06-11 04:51,429,2025-06-11 04:51,4.58
430,2025-06-11 04:51,430,2025-06-11 04:51,4.49
431,2025-06-11 04:51,431,2025-06-11 04:51,4.72
432,2025-06-11 04:52,432,2025-06-11 04:52,1.97
433,2025-06-11 04:53,433,2025-06-11 04:53,4.35
434,2025-06-11 04:53,434,2025-06-11 04:53,3.48
435,2025-06-11 04:54,435,2025-06-11 04:54,2.79
436,2025-06-11 04:55,436,2025-06-11 04:55,1.64
437,2025-06-11 04:58,437,2025-06-11 04:58,3.57
438,2025-06-11 05:00,438,2025-06-11 05:00,3.74
439,2025-06-11 05:00,439,2025-06-11 05:00,4.12
440,2025-06-11 05:00,440,2025-06-11 05:00,3.96
441,2025-06-11 05:01,441,2025-06-11 05:01,3.59
442,2025-06-11 05:01,442,2025-06-11 05:01,2.35
443,2025-06-11 05:02,443,2025-06-11 05:02,3.92
444,2025-06-11 05:03,444,2025-06-11 05:03,2.86
445,2025-06-11 05:03,445,2025-06-11 05:03,3.38
446,2025-06-11 05:03,446,2025-06-11 05:03,3.25
447,2025-06-11 05:04,447,2025-06-11 05:04,4.3
448,2025-06-11 05:04,448,2025-06-11 05:04,3.31
449,2025-06-11 05:04,449,2025-06-11 05:04,3.2
450,2025-06-11 05:06,450,2025-06-11 05:06,3.55
451,2025-06-11 05:06,451,2025-06-11 05:06,3.23
452,2025-06-11 05:07,452,2025-06-11 05:07,3.51
453,2025-06-11 05:07,453,2025-06-11 05:07,3.89
454,2025-06-11 05:07,454,2025-06-11 05:07,1.19
455,2025-06-11 05:08,455,2025-06-11 05:08,2.07
456,2025-06-11 05:08,456,2025-06-11 05:08,2.92
457,2025-06-11 05:12,457,2025-06-11 05:12,2.32
458,2025-06-11 05:13,458,2025-06-11 05:13,4.26
459,2025-06-11 05:15,459,2025-06-11 05:15,3.15
460,2025-06-11 05:15,460,2025-06-11 05:15,3.5
461,2025-06-11 05:15,461,2025-06-11 05:15,1.12
462,2025-06-11 05:16,462,2025-06-11 05:16,1.48
463,2025-06-11 05:16,463,2025-06-11 05:16,4.59
464,2025-06-11 05:16,464,2025-06-11 05:16,4.46
465,2025-06-11 05:17,465,2025-06-11 05:17,1.0
